Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
ITS-74	RdG	CONV	18C	0_initial	0	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	0	186	232.54	0	0	0.48	172	NA	NA	NA	NA	NA	1.40E+05	3.08E+08	33	0.378872853	0.11	72	Ribera del Guadiana
ITS-92	RdG	CONV	NH4	0_initial	0	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	0	522	217.57	0	0	0.47	220	NA	NA	NA	NA	NA	1.32E+05	2.64E+08	20	0.945939873	0.17	192	Ribera del Guadiana
ITS-110	RdG	CONV	SO2	0_initial	0	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	0	161	226.03	0	0	0.46	169	NA	NA	NA	NA	NA	8.00E+03	2.80E+08	30	1.315722372	0.15	290	Ribera del Guadiana
ITS-55	RdG	ECO	Control	0_initial	0	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	0	20	243.03	0	0	1.92	68	NA	NA	NA	NA	NA	2.44E+04	3.56E+08	22	3.432846937	0.16	356	Ribera del Guadiana
ITS-73	RdG	ECO	18C	0_initial	0	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	0	14	248.17	0	0	1.97	70	NA	NA	NA	NA	NA	2.04E+04	1.48E+08	30	0.537790373	0.11	72	Ribera del Guadiana
ITS-91	RdG	ECO	NH4	0_initial	0	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	0	350	234.13	0	0	2.06	115	NA	NA	NA	NA	NA	1.48E+04	2.80E+08	20	1.169838511	0.17	72	Ribera del Guadiana
ITS-109	RdG	ECO	SO2	0_initial	0	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	0	14	247.86	0	0	1.98	71	NA	NA	NA	NA	NA	1.44E+04	4.80E+07	22	0.730083745	0.15	192	Ribera del Guadiana
ITS-62	VLP	CONV	Control	0_initial	0	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	0	45	190.39	0	0	1.52	110	NA	NA	NA	NA	NA	1.06E+06	3.20E+07	20	0.986211099	0.22	48	Valdepeñas
ITS-80	VLP	CONV	18C	0_initial	0	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	0	41	191.2	0	0	1.47	106	NA	NA	NA	NA	NA	0.00E+00	1.60E+08	20	0.438466427	0.2	192	Valdepeñas
ITS-98	VLP	CONV	NH4	0_initial	0	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	0	339	193.94	0	0	1.51	127	NA	NA	NA	NA	NA	8.68E+05	3.60E+07	20	1.61839101	0.22	192	Valdepeñas
ITS-116	VLP	CONV	SO2	0_initial	0	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	0	42	205.61	0	0	1.49	107	NA	NA	NA	NA	NA	9.74E+05	2.40E+08	22	1.307732226	0.22	144	Valdepeñas
ITS-61	VLP	ECO	Control	0_initial	0	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	0	60	224.78	0	0	1.15	129	NA	NA	NA	NA	NA	3.96E+05	8.40E+07	20	1.289877027	0.29	72	Valdepeñas
ITS-79	VLP	ECO	18C	0_initial	0	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	0	56	237.14	0	0	1.27	124	NA	NA	NA	NA	NA	3.96E+05	1.20E+08	20	0.653838196	0.23	120	Valdepeñas
ITS-97	VLP	ECO	NH4	0_initial	0	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	0	360	226.26	0	0	1	149	NA	NA	NA	NA	NA	0.00E+00	8.80E+07	20	1.481811102	0.27	72	Valdepeñas
ITS-115	VLP	ECO	SO2	0_initial	0	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	0	45	240.3	0	0	1.16	123	NA	NA	NA	NA	NA	0.00E+00	1.60E+08	22	1.446842029	0.28	144	Valdepeñas
ITS-132	LM	CONV	Control	1_middle	144	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0.1	15	133.67	5.99	0.02	2.67	10	NA	NA	NA	NA	NA	3.64E+07	6.00E+07	24	0.501393875	0.19	192	La Mancha
ITS-150	LM	CONV	18C	1_middle	336	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0.17	43	125.94	4.79	0.02	2.71	10	NA	NA	NA	NA	NA	1.43E+07	6.80E+07	43	0.511393207	0.11	216	La Mancha
